Date,Open,High,Low,Close,Volume
2006-02-14,172.83,176.02,171.37,171.83,14658822
2006-02-15,170.8,173.17,169.08,171.36,12950205
2006-02-16,173.0,183.68,172.41,183.41,21346656
2006-02-17,185.11,186.25,181.99,184.55,14320187
2006-02-21,183.4,186.95,182.73,183.47,8690747
2006-02-22,183.75,184.65,182.11,182.92,6480739
2006-02-23,182.98,190.8,182.87,189.22,12555816
2006-02-24,188.83,190.22,186.93,188.88,6486245
2006-02-27,190.82,196.04,190.32,195.38,10218579
2006-02-28,196.79,198.96,169.42,181.49,39446832
2006-03-01,184.46,184.9,180.83,182.58,12065342
2006-03-02,182.32,190.73,181.28,188.41,18340198
2006-03-03,192.34,193.81,188.06,189.27,11965401
2006-03-06,190.64,191.89,183.75,184.23,8944987
2006-03-07,182.69,184.4,179.25,182.4,10458638
2006-03-08,177.14,180.19,175.44,177.11,11789648
2006-03-09,177.87,179.44,170.92,171.67,13930023
2006-03-10,171.92,172.42,165.94,168.91,19335604
2006-03-13,170.63,173.22,167.89,168.69,13647636
2006-03-14,168.74,176.36,166.47,175.75,18462896
2006-03-15,175.56,176.32,170.43,172.42,12772794
2006-03-16,174.47,174.54,169.11,169.55,10021478
2006-03-17,169.56,171.06,167.63,170.06,8558663
2006-03-20,171.34,175.21,170.94,174.26,10415814
2006-03-21,175.17,176.0,169.7,170.12,9858099
2006-03-22,170.04,172.22,168.91,170.28,7600389
2006-03-23,171.34,173.04,170.26,171.11,7784834
2006-03-24,184.49,185.22,181.43,183.08,15182162
2006-03-27,183.72,186.04,182.68,185.02,7026402
2006-03-28,186.04,189.11,185.77,188.78,8952532
2006-03-29,190.15,199.69,189.94,197.68,19345086
2006-03-30,194.78,196.94,191.99,194.41,14723626
2006-03-31,194.56,196.13,192.2,195.19,36524584
2006-04-03,194.95,196.43,194.15,195.04,8129930
2006-04-04,195.14,202.65,194.26,202.37,15725137
2006-04-05,204.3,207.49,201.61,204.19,13454976
2006-04-06,203.44,207.15,202.91,205.79,8599983
2006-04-07,206.41,206.63,202.21,203.28,7027980
2006-04-10,203.74,208.79,202.82,208.39,9325308
2006-04-11,208.41,209.75,203.31,205.03,11112419
2006-04-12,204.7,205.86,202.79,204.67,6021169
2006-04-13,204.51,205.08,200.44,201.28,6554861
2006-04-17,201.92,206.45,200.61,203.61,8261422
2006-04-18,204.16,205.11,200.94,202.32,8154780
2006-04-19,206.49,207.02,203.56,205.45,6786151
2006-04-20,205.7,208.2,204.3,207.7,12458412
2006-04-21,224.67,225.58,218.3,218.76,22559250
2006-04-24,219.91,222.57,218.47,220.46,8840100
2006-04-25,220.03,220.73,213.21,213.79,9569567
2006-04-26,214.08,215.23,211.97,213.19,7282287
2006-04-27,211.66,213.66,209.9,210.22,8359256
2006-04-28,209.52,213.07,208.35,209.17,7425666
2006-05-01,209.44,209.92,199.47,199.64,10367637
2006-05-02,200.73,201.44,194.39,197.59,13108333
2006-05-03,198.37,200.94,195.63,197.28,8075850
2006-05-04,197.71,199.63,196.3,197.57,4653255
2006-05-05,198.99,200.53,196.08,197.34,6069528
2006-05-08,197.75,198.75,195.21,197.58,5129461
2006-05-09,198.04,204.7,197.07,204.6,9143664
2006-05-10,204.35,206.05,201.12,201.69,6211308
2006-05-11,201.91,202.55,192.68,193.69,8898884
2006-05-12,191.96,192.62,186.96,187.25,10156524
2006-05-15,188.15,190.26,184.3,188.28,8594484
2006-05-16,188.18,188.61,185.12,185.83,5317198
2006-05-17,185.48,190.1,185.29,187.43,10664908
2006-05-18,189.57,191.09,185.53,185.67,5835892
2006-05-19,186.82,187.43,180.46,185.19,11399560
2006-05-22,184.1,186.7,182.8,185.65,8605568
2006-05-23,187.29,192.13,186.96,187.97,8985421
2006-05-24,188.86,191.91,185.99,190.81,9556510
2006-05-25,189.72,191.69,186.34,191.68,8198046
2006-05-26,192.46,193.13,190.2,190.86,3667717
2006-05-30,189.32,190.68,185.91,186.15,4315930
2006-05-31,187.08,189.31,183.57,186.09,7982732
2006-06-01,186.95,191.68,185.98,191.5,6280223
2006-06-02,193.61,193.73,188.91,189.9,6386442
2006-06-05,188.27,190.91,187.26,187.4,5559992
2006-06-06,188.48,195.19,188.33,195.18,10263036
2006-06-07,196.81,197.62,193.44,193.44,8912579
2006-06-08,194.06,197.33,189.48,196.84,10360552
2006-06-09,196.29,197.91,192.86,193.47,6159365
2006-06-12,194.36,195.43,190.68,190.96,5021083
2006-06-13,190.63,193.69,189.24,193.45,7662124
2006-06-14,195.1,195.74,189.44,192.38,7773360
2006-06-15,193.5,196.32,191.69,195.69,6788401
2006-06-16,194.74,195.65,194.19,195.54,5306979
2006-06-19,195.61,197.59,193.68,194.26,7634692
2006-06-20,194.2,196.13,193.44,193.77,4045219
2006-06-21,195.72,202.2,195.06,201.26,8745047
2006-06-22,200.98,203.2,194.19,200.17,6008179
2006-06-23,201.58,205.07,200.56,202.63,5314766
2006-06-26,203.57,204.35,201.82,202.31,3551178
2006-06-27,203.05,204.2,200.7,201.36,4107079
2006-06-28,202.2,203.44,200.76,203.25,3712699
2006-06-29,204.19,209.3,203.11,209.11,6662215
2006-06-30,208.0,209.87,206.36,209.87,6298846
2006-07-03,210.22,212.09,209.93,211.81,2156782
2006-07-05,210.96,211.61,208.02,210.93,4986307
2006-07-06,211.89,212.9,211.19,211.8,3687577
2006-07-07,213.23,214.15,208.14,210.43,6042310
2006-07-10,211.93,212.82,208.39,209.3,4438867
2006-07-11,209.46,212.73,206.72,212.49,5972817
2006-07-12,211.25,211.58,208.57,208.83,4906618
2006-07-13,207.2,209.37,203.61,204.61,6924475
2006-07-14,205.36,205.94,199.5,201.95,7552072
2006-07-17,202.51,205.7,202.06,204.14,5813229
2006-07-18,205.07,205.48,199.06,201.72,8631609
2006-07-19,197.7,200.76,197.52,199.69,8523151
2006-07-20,202.34,202.42,193.02,193.75,12631703
2006-07-21,193.26,196.06,189.03,195.24,11767919
2006-07-24,196.6,197.14,190.79,195.64,8087709
2006-07-25,192.76,195.84,192.09,194.87,5761388
2006-07-26,194.29,196.15,191.69,192.94,5532668
2006-07-27,193.87,193.93,189.16,191.39,5641105
2006-07-28,191.19,194.97,191.05,194.25,4084395
2006-07-31,194.19,194.77,191.84,193.49,4598575
2006-08-01,192.74,193.07,187.94,187.94,5466822
2006-08-02,187.98,188.77,182.78,183.79,7098826
2006-08-03,182.67,189.14,181.86,187.88,6329923
2006-08-04,189.96,190.52,186.06,187.11,5095481
2006-08-07,185.93,190.05,185.76,189.16,3999670
2006-08-08,191.6,192.44,189.73,190.68,5744843
2006-08-09,191.59,192.53,188.36,188.65,4311433
2006-08-10,187.12,189.02,186.41,187.28,4264885
2006-08-11,187.38,187.82,184.18,184.43,3768869
